,prop,lambda,theta,sample,sample_avg,acc_mhs
324,normal_dep,6000.0,1e-06,4,0.2570605852615862,0.27381673909945226
325,normal_dep,6000.0,1e-05,0,0.19913819589500165,0.19749994128684034
326,normal_dep,6000.0,1e-05,1,0.19913819589500165,0.16632289213438606
327,normal_dep,6000.0,1e-05,2,0.19913819589500165,0.2307880999695253
328,normal_dep,6000.0,1e-05,3,0.19913819589500165,0.18169582142954951
329,normal_dep,6000.0,1e-05,4,0.19913819589500165,0.21938422465470708
330,normal_dep,6000.0,0.0001,0,0.15305200769335908,0.16865586952674924
331,normal_dep,6000.0,0.0001,1,0.15305200769335908,0.17840516213302138
332,normal_dep,6000.0,0.0001,2,0.15305200769335908,0.0739889791520793
333,normal_dep,6000.0,0.0001,3,0.15305200769335908,0.1224482399183463
334,normal_dep,6000.0,0.0001,4,0.15305200769335908,0.22176178773659924
335,normal_dep,6000.0,0.001,0,0.1181391400746687,0.1160521783522697
336,normal_dep,6000.0,0.001,1,0.1181391400746687,0.07861106132068167
337,normal_dep,6000.0,0.001,2,0.1181391400746687,0.09516146451139491
338,normal_dep,6000.0,0.001,3,0.1181391400746687,0.16554662550078314
339,normal_dep,6000.0,0.001,4,0.1181391400746687,0.1353243706882141
340,normal_dep,6000.0,0.01,0,0.0919176537014008,0.06673535357697785
341,normal_dep,6000.0,0.01,1,0.0919176537014008,0.05423551588144037
342,normal_dep,6000.0,0.01,2,0.0919176537014008,0.094362686158484
343,normal_dep,6000.0,0.01,3,0.0919176537014008,0.07886840266903193
344,normal_dep,6000.0,0.01,4,0.0919176537014008,0.16538631022106987
345,normal_dep,6000.0,0.1,0,0.07830511140521126,0.07316651625166078
346,normal_dep,6000.0,0.1,1,0.07830511140521126,0.1066390556077706
347,normal_dep,6000.0,0.1,2,0.07830511140521126,0.09634364845930829
348,normal_dep,6000.0,0.1,3,0.07830511140521126,0.06544315593630812
349,normal_dep,6000.0,0.1,4,0.07830511140521126,0.049933180771008515
350,normal_dep,6000.0,1.0,0,0.08311343397342805,0.08301677060246979
351,normal_dep,6000.0,1.0,1,0.08311343397342805,0.12415427997284711
352,normal_dep,6000.0,1.0,2,0.08311343397342805,0.07079954892487227
353,normal_dep,6000.0,1.0,3,0.08311343397342805,0.05157448399735634
354,normal_dep,6000.0,1.0,4,0.08311343397342805,0.08602208636959467
355,normal_dep,6000.0,10.0,0,0.05946424493369806,0.08392369487695554
356,normal_dep,6000.0,10.0,1,0.05946424493369806,0.05713533548420114
357,normal_dep,6000.0,10.0,2,0.05946424493369806,0.055089718579127034
358,normal_dep,6000.0,10.0,3,0.05946424493369806,0.0528217941382905
359,normal_dep,6000.0,10.0,4,0.05946424493369806,0.048350681589916115
360,normal_dep,7000.0,1e-06,0,0.22069433656391615,0.19394847010417302
361,normal_dep,7000.0,1e-06,1,0.22069433656391615,0.2779997482798355
362,normal_dep,7000.0,1e-06,2,0.22069433656391615,0.2331346423678059
