,theta,d,samples,acc_prob,acc_pl
363,1.0,5,3,0.0016166711096890676,0.004025844031709461
364,1.0,5,4,0.0019594281645569102,0.0037064708471111502
365,1.0,5,5,0.0009402770363113114,0.002615595134745025
366,1.0,5,6,0.0012537361598884238,0.0030214427330524036
367,1.0,5,7,0.0040886055596262745,0.0021521970881269634
368,1.0,5,8,0.002706400458845055,0.0024287999620410676
369,1.0,5,9,0.003814972992145044,0.003096170392984548
370,1.0,6,0,0.0025774466196024624,0.0026193875668951974
371,1.0,6,1,0.002442957220795282,0.0031273069813635315
372,1.0,6,2,0.0022197255833304582,0.002502284869975133
373,1.0,6,3,0.001338356839593174,0.0030010559898737987
374,1.0,6,4,0.0019143410672422087,0.003224732912269582
375,1.0,6,5,0.0014994974176105048,0.0023473319102489108
376,1.0,6,6,0.002046732866673466,0.002779414795854252
377,1.0,6,7,0.001983288146485884,0.0028513822737491956
378,1.0,6,8,0.0026185077320813608,0.003630134291610359
379,1.0,6,9,0.00305859017209975,0.003572051127616557
380,1.0,7,0,0.0024200125644996536,0.0034534173610641645
381,1.0,7,1,0.0022201104755577234,0.002366547948644904
382,1.0,7,2,0.0017579295181490914,0.00219024597260873
383,1.0,7,3,0.002294777665470807,0.0033367363523653633
384,1.0,7,4,0.002376953419260543,0.0029298552958492855
385,1.0,7,5,0.0013600639931553255,0.0023841080593585908
386,1.0,7,6,0.0026223033713799787,0.003231295091631563
387,1.0,7,7,0.0030032487270816297,0.0034077697666609987
388,1.0,7,8,0.0020603156798604267,0.002293306727916148
389,1.0,7,9,0.00339373506043375,0.0029189670925515135
390,1.0,8,0,0.003640134855987348,0.003278265580127836
391,1.0,8,1,0.0019913565505861193,0.003411145315342907
392,1.0,8,2,0.0017898420951330434,0.002849872031726431
393,1.0,8,3,0.0017100016665163502,0.0021992089707589756
394,1.0,8,4,0.002663147638037803,0.0025862394721798275
395,1.0,8,5,0.002117073472113846,0.0023614034589661496
396,1.0,8,6,0.0024648177380239855,0.0031248354355250187
397,1.0,8,7,0.002096723854944895,0.001755939469570526
398,1.0,8,8,0.0013581514533012031,0.002474372184744198
399,1.0,8,9,0.0034254893443617157,0.002583843884785689
400,10.0,1,0,0.0008827267116716342,0.0023871897415740505
401,10.0,1,1,0.0008240709117283124,0.0024738890854528717
402,10.0,1,2,0.0009593273068882449,0.0019188971835074804
403,10.0,1,3,0.0007721311062151551,0.0030661923545389686
404,10.0,1,4,0.0015385699562915933,0.00216419586261797
405,10.0,1,5,0.0014664200070427008,0.0035293835972380785
406,10.0,1,6,0.0010417653867478085,0.0023684747693361553
407,10.0,1,7,0.0008132775380282041,0.003041042290013753
408,10.0,1,8,0.0019377852126716373,0.0020288335929936007
409,10.0,1,9,0.00112898137755925,0.002217365249050815
410,10.0,2,0,0.0015930884156382403,0.002587304855229516
411,10.0,2,1,0.0003416115917001201,0.002586533170877165
412,10.0,2,2,0.0010347024160360443,0.002253018328183052
413,10.0,2,3,0.0022904116516950113,0.002446256788069968
414,10.0,2,4,0.0014014540371648575,0.002164015152045195
415,10.0,2,5,0.002450530897604141,0.0019721918752632433
416,10.0,2,6,0.001789204514719292,0.0030331692312357207
417,10.0,2,7,0.0013575679069765007,0.00234615404764789
418,10.0,2,8,0.002621950141713446,0.0027524471558951873
419,10.0,2,9,0.0015508739755713972,0.001486665791801651
420,10.0,3,0,0.003790859533610491,0.0026290186232592267
421,10.0,3,1,0.0019748738535387356,0.002351494382736019
